Nom du Jeu,Genre,Plateforme,Date de Sortie,Prix,Description,Rating,Tags,Mode de Jeu,stock,Nouvelle_Colonne
Ghost of Tsushima,Action-Aventure,PlayStation 4,2020-07-17 00:00:00,59.99,Une aventure de samouraï dans le Japon féodal.,2024-09-08 00:00:00,"Action, Aventure, Historique",Solo,6,https://images.app.goo.gl/5vgdFP4LkgsL1dh46
Doom Eternal,FPS,Multi,2020-03-20 00:00:00,59.99,Un FPS intense et rapide contre des démons.,2024-08-08 00:00:00,"FPS, Action, Horreur","Solo, Multijoueur",9,https://images.app.goo.gl/71VfN91dggK3TLPB7
Ori and the Will of the Wisps,Plateforme,Multi,2020-03-11 00:00:00,29.99,Une aventure de plateforme émouvante et visuellement époustouflante.,9.0,"Plateforme, Aventure, Exploration",Solo,5,https://www.google.com/url?sa=i&url=https%3A%2F%2Fculturellementvotre.fr%2F2021%2F01%2F11%2Ftest-ori-and-the-will-of-the-wisps%2F&psig=AOvVaw3zRcvmBQjv2KZwx4qpDHAD&ust=1732547810072000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCLiW9deh9YkDFQAAAAAdAAAAABAE
Half-Life: Alyx,FPS,PC (VR),2020-03-23 00:00:00,53.99,Un FPS en réalité virtuelle dans l'univers de Half-Life.,2024-03-09 00:00:00,"FPS, VR, Science-fiction",Solo,7,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.half-life.com%2Ffr%2Falyx&psig=AOvVaw00qky7RRzHhKBWNYHSeTU9&ust=1732547791007000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCLjfzs6h9YkDFQAAAAAdAAAAABAE
Death Stranding,Action,Multi,2019-11-08 00:00:00,59.99,Un jeu d'action unique avec des mécaniques de livraison.,2024-03-08 00:00:00,"Action, Aventure, Science-fiction",Solo,2,https://www.google.com/url?sa=i&url=https%3A%2F%2Fstore.epicgames.com%2Ffr%2Fp%2Fdeath-stranding-directors-cut&psig=AOvVaw2maJfJsxP5P3_eRCOlt6xd&ust=1732547771816000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCMi0vsWh9YkDFQAAAAAdAAAAABAE
The Last of Us Part II,Action-Aventure,PlayStation 4,2020-06-19 00:00:00,59.99,Une suite émotionnelle et intense de The Last of Us.,9.0,"Action, Aventure, Survie",Solo,5,https://www.google.com/url?sa=i&url=https%3A%2F%2Fstore.playstation.com%2Ffr-fr%2Fproduct%2FEP9000-CUSA10249_00-THELASTOFUSPART2&psig=AOvVaw1UqvPAzKCAdS4MihaSjex_&ust=1732547745126000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCKDT7bih9YkDFQAAAAAdAAAAABAE
Control,Action-Aventure,Multi,2019-08-27 00:00:00,59.99,Un jeu d'action avec des pouvoirs télékinétiques.,2024-04-08 00:00:00,"Action, Aventure, Science-fiction",Solo,6,https://www.google.com/url?sa=i&url=https%3A%2F%2Fstore.playstation.com%2Ffr-fr%2Fproduct%2FEP4040-PPSA01951_00-CONTROLUEPS50000&psig=AOvVaw0fNN9uM1YcngtB-Lk7iV8q&ust=1732547723171000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCJC9pa6h9YkDFQAAAAAdAAAAABAE
Star Wars Jedi: Fallen Order,Action-Aventure,Multi,2019-11-15 00:00:00,59.99,Une aventure Star Wars avec un Jedi en fuite.,2024-02-08 00:00:00,"Action, Aventure, Science-fiction",Solo,1,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.fr%2FStar-Wars-Jedi-Fallen-Order%2Fdp%2FB07QN7HVMH&psig=AOvVaw3-CiSciQmte0Ma5OWJ-ph_&ust=1732547704680000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCIiNw6Wh9YkDFQAAAAAdAAAAABAE
Sekiro: Shadows Die Twice,Action-Aventure,Multi,2019-03-22 00:00:00,59.99,Un jeu d'action difficile dans le Japon féodal.,9.0,"Action, Aventure, Historique",Solo,5,https://www.google.com/url?sa=i&url=https%3A%2F%2Fcdkeyprices.fr%2Fitem%2Fsekiro-shadows-die-twice-cd-key-all&psig=AOvVaw31_jVqWjBxHxx23bz1Taq-&ust=1732547681691000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCPDrx5qh9YkDFQAAAAAdAAAAABAE
Resident Evil 2,Survival Horror,Multi,2019-01-25 00:00:00,59.99,Un remake terrifiant du classique survival horror.,9.0,"Horreur, Survie, Action",Solo,9,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.fr%2FCapcom-Resident-Evil-2%2Fdp%2FB07DPBWJB6&psig=AOvVaw1cMfP_T0u8pjW0tdOSvmHY&ust=1732547660380000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCKCEr5Ch9YkDFQAAAAAdAAAAABAE
God of War,Action-Aventure,PlayStation 4,2018-04-20 00:00:00,59.99,Une aventure épique avec Kratos et son fils.,2024-04-09 00:00:00,"Action, Aventure, Mythologie",Solo,5,https://www.google.com/url?sa=i&url=https%3A%2F%2Fstore.playstation.com%2Ffr-fr%2Fproduct%2FEP9000-PPSA08330_00-GOWRAGNAROK00000&psig=AOvVaw2Ua8wafClXTGMcpJxKVHQQ&ust=1732547636542000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCOiglYWh9YkDFQAAAAAdAAAAABAE
Marvel's Spider-Man,Action-Aventure,PlayStation 4,2018-09-07 00:00:00,59.99,Une aventure de super-héros avec Spider-Man.,2024-07-08 00:00:00,"Action, Aventure, Super-héros",Solo,6,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.fnac.com%2Fa17301493%2FMarvels-Spider-Man-Remastered-Logiciel-a-telecharger-PC&psig=AOvVaw0_b-kb4G-Bas-gAamZr-Uh&ust=1732547613737000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCMjH8vqg9YkDFQAAAAAdAAAAABAE
Super Smash Bros. Ultimate,Combat,Nintendo Switch,2018-12-07 00:00:00,59.99,Un jeu de combat ultime avec des personnages emblématiques.,2024-03-09 00:00:00,"Combat, Multijoueur, Crossover",Multijoueur,6,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.fr%2FNintendo-Super-Smash-Bros-Ultimate%2Fdp%2FB07DPQD26J&psig=AOvVaw0Lze0NQQ89DLvm0tgfuEPC&ust=1732547593367000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCKDxwfCg9YkDFQAAAAAdAAAAABAE
Monster Hunter: World,Action-RPG,Multi,2018-01-26 00:00:00,59.99,Un RPG de chasse aux monstres.,2024-06-08 00:00:00,"Action, RPG, Multijoueur","Solo, Multijoueur",4,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.jeuxvideo.com%2Fjeux%2Fone%2Fjeu-670964%2F&psig=AOvVaw2w39lB8BqlTewPPskmP50a&ust=1732547566011000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCPCk3eOg9YkDFQAAAAAdAAAAABAJ
Horizon Zero Dawn,Action-RPG,PlayStation 4,2017-02-28 00:00:00,59.99,Une aventure post-apocalyptique avec des machines.,2024-09-08 00:00:00,"Action, RPG, Aventure",Solo,2,https://cdn1.epicgames.com/offer/f4bfcee7af9b46f182ac93bd01494595/EGS_HorizonZeroDawnRemastered_GuerrillaGames_S2_1200x1600-541e79c6bba05a77fd7995d815f80374
Persona 5,RPG,Multi,2017-04-04 00:00:00,59.99,Un RPG moderne avec des éléments de simulation sociale.,2024-02-09 00:00:00,"RPG, Simulation, Aventure",Solo,8,https://image.api.playstation.com/cdn/EP4062/CUSA06638_00/0fSaYhFhEVP183JLTwVec7qkzmaHNMS2.png?w=440
Nier: Automata,Action-RPG,Multi,2017-02-23 00:00:00,59.99,Un RPG d'action avec des androïdes.,2024-08-08 00:00:00,"Action, RPG, Science-fiction",Solo,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIKes02LOQOTg_4ackDfsmn8fXXaLJZBwPkGJxEmRZaNWzYFU0dGrmYk7OtN-6LWe3NsEaOA
Uncharted 4: A Thief's End,Action-Aventure,PlayStation 4,2016-05-10 00:00:00,59.99,Une aventure de chasse au trésor avec Nathan Drake.,2024-02-09 00:00:00,"Action, Aventure, Exploration",Solo,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGHLlfV7e_bkwJn_2maewS37LRnIn3RZGADRTMwgpagW--yM4vKqxhyYE7DfJYPb0aaA2y
Overwatch,FPS,Multi,2016-05-24 00:00:00,39.99,Un FPS compétitif avec des héros uniques.,2024-07-08 00:00:00,"FPS, Multijoueur, Compétitif",Multijoueur,4,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcScGRzZkahJmf0Aq9cQIPsOu7D-2JjgTG5U36km6SJ2jB_cyCPY0FTABSf0qG2vB9TluJ9q
Dark Souls III,Action-RPG,Multi,2016-04-12 00:00:00,59.99,Un RPG d'action difficile et sombre.,9.0,"Action, RPG, Fantasy","Solo, Multijoueur",1,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRaGkCHLYs81irO2QiWmd5rGmrJdITo5kBqXNJGc2AsifZoQ3OZ2ISIaPTjhKdrQWrOOqMe
Fallout 4,RPG,Multi,2015-11-10 00:00:00,59.99,Un RPG post-apocalyptique avec un monde ouvert.,2024-04-08 00:00:00,"RPG, Aventure, Monde ouvert",Solo,5,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS-gvuQtXwTjtlPOLxzcvTHEJ_rAUY323EIJ1TasMp_6cVa9NwhYcbx6bIcb1E47UX6xMiWiA
Metal Gear Solid V: The Phantom Pain,Action-Aventure,Multi,2015-09-01 00:00:00,59.99,Un jeu d'action furtif avec des mécaniques de base building.,2024-01-09 00:00:00,"Action, Aventure, Furtif","Solo, Multijoueur",6,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTmlZOFG03a46rZPmAy4h_a9PHBSeFOZwY4Y7qUUvHX8HrwwNCE746o62Tdwda1pd61SnEH
Bloodborne,Action-RPG,PlayStation 4,2015-03-24 00:00:00,59.99,Un RPG d'action gothique et difficile.,2024-02-09 00:00:00,"Action, RPG, Horreur",Solo,3,https://s3.amazonaws.com/gameopedia_covers/covers/292397/2d8741d405211526a08f7e8c8a8b22db.jpeg
Dragon Age: Inquisition,RPG,Multi,2014-11-18 00:00:00,59.99,Un RPG fantastique avec des choix impactants.,2024-05-08 00:00:00,"RPG, Aventure, Fantasy","Solo, Multijoueur",3,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTEYnpmhNCUEyNLHer5FXJ_ZHE4Y1bInlII0lKexUSlquIb8sriuzrtWCcIWnHETfNQg-AR
Middle-earth: Shadow of Mordor,Action-Aventure,Multi,2014-09-30 00:00:00,59.99,Un jeu d'action dans l'univers du Seigneur des Anneaux.,2024-04-08 00:00:00,"Action, Aventure, Fantasy",Solo,5,https://images.gog-statics.com/455ff8097ca01fe893703d38b20f46bc9a539765256f9755ea9e592f48938763_product_card_v2_mobile_slider_639.jpg
Alien: Isolation,Survival Horror,Multi,2014-10-07 00:00:00,39.99,Un jeu de survie terrifiant dans l'univers d'Alien.,2024-02-08 00:00:00,"Horreur, Survie, Action",Solo,5,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ2MWDW7r0XUXaIZFBbUKVFHE8VwJohivm3Libl-mpnpy7NuH7ka-7Yun_gMGOe7VXKwvy7
Watch Dogs,Action-Aventure,Multi,2014-05-27 00:00:00,59.99,Un jeu d'action avec des hackers dans un monde ouvert.,2024-07-07 00:00:00,"Action, Aventure, Monde ouvert","Solo, Multijoueur",2,https://cdn1.epicgames.com/ecebf45065bc4993abfe0e84c40ff18e/offer/WDOG_STD_Store_Landscape_2580x1450-2580x1450-3fd07dcc02e65aca288d794c177c7512.jpg
Titanfall,FPS,Multi,2014-03-11 00:00:00,59.99,Un FPS avec des méchas et des combats rapides.,2024-09-07 00:00:00,"FPS, Action, Multijoueur",Multijoueur,9,"https://m.media-amazon.com/images/I/61lC7yp-63S._AC_UF1000,1000_QL80_.jpg"
The Last of Us,Action-Aventure,PlayStation 3,2013-06-14 00:00:00,59.99,Une aventure post-apocalyptique émouvante.,2024-05-09 00:00:00,"Action, Aventure, Survie",Solo,3,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRSQX_39GAE9caPnge5G42RUfLm5l5nmHdH195y4aeg0i2eFOrS8j2iA71NBpKu2Vt50lNI
Bioshock Infinite,FPS,Multi,2013-03-26 00:00:00,59.99,Un FPS dans une ville flottante avec des pouvoirs uniques.,2024-04-09 00:00:00,"FPS, Action, Science-fiction",Solo,5,https://cdn1.epicgames.com/offer/df2da503f2074f078f8090da3c27ec47/EGS_BioShockInfiniteCompleteEdition_MassMediaGames_S1_2560x1440-bf29199cfe7a76f62965f582571024f6
Dishonored,Action-Aventure,Multi,2012-10-09 00:00:00,59.99,Un jeu d'action furtif avec des pouvoirs surnaturels.,9.0,"Action, Aventure, Furtif",Solo,2,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Dishonored_box_art_Bethesda.jpg/220px-Dishonored_box_art_Bethesda.jpg
Mass Effect 3,Action-RPG,Multi,2012-03-06 00:00:00,59.99,La conclusion épique de la trilogie Mass Effect.,2024-09-08 00:00:00,"RPG, Action, Science-fiction",Solo,4,https://upload.wikimedia.org/wikipedia/en/b/b0/Mass_Effect_3_Game_Cover.jpg
The Elder Scrolls V: Skyrim,RPG,Multi,2011-11-11 00:00:00,59.99,Un RPG fantastique dans un vaste monde ouvert.,2024-04-09 00:00:00,"RPG, Aventure, Fantasy",Solo,2,https://assets-prd.ignimgs.com/2021/08/19/elder-scrolls-skyrim-button-2017-1629409446732.jpg
Portal 2,Puzzle,Multi,2011-04-19 00:00:00,29.99,Un jeu de puzzle avec des portails et de l'humour.,2024-05-09 00:00:00,"Puzzle, Aventure, Humour","Solo, Multijoueur",3,https://sm.ign.com/t/ign_ap/cover/p/portal-2/portal-2_qe7h.1200.jpg
Red Dead Redemption,Action-Aventure,Multi,2010-05-18 00:00:00,59.99,Une aventure western épique avec John Marston.,2024-05-09 00:00:00,"Action, Aventure, Monde ouvert",Solo,2,https://store-images.s-microsoft.com/image/apps.21181.14244061853036130.7c2802a8-1b30-475c-bf05-1f4138de9fd0.0ff00a6d-8e75-4346-980c-12dcdb64778d?q=90&w=480&h=270
Mass Effect 2,Action-RPG,Multi,2010-01-26 00:00:00,59.99,Une suite épique de Mass Effect avec des choix impactants.,2024-06-09 00:00:00,"RPG, Action, Science-fiction",Solo,1,https://upload.wikimedia.org/wikipedia/en/0/05/MassEffect2_cover.PNG
Batman: Arkham Asylum,Action-Aventure,Multi,2009-08-25 00:00:00,59.99,Un jeu d'action avec Batman dans l'asile d'Arkham.,2024-02-09 00:00:00,"Action, Aventure, Super-héros",Solo,8,https://cdn1.epicgames.com/offer/5f7c811695f14b8fa3a8e1ea35713d23/CodeRedemption_ArkhamAsylum-335x440-58065661db02a2f429d50867e130925e1_1200x1600-5dc57284959156b5eece14a18242073d
Left 4 Dead 2,FPS,Multi,2009-11-17 00:00:00,29.99,Un FPS coopératif de survie contre des zombies.,2024-09-08 00:00:00,"FPS, Horreur, Survie",Multijoueur,6,https://upload.wikimedia.org/wikipedia/en/b/ba/Left4Dead2.jpg
Prince of Persia : Les Sables du Temps,Action-Aventure,Multi,2003,19.99,Une aventure épique avec des mécaniques de contrôle du temps.,2024-09-08 00:00:00,"Action, Aventure, Fantasy",Solo,3,https://gaming-cdn.com/images/products/6875/orig/prince-of-persia-les-sables-du-temps-remake-pc-jeu-cover.jpg?v=1718053493
Pac-Man,Arcade,Multi,1980-05-22 00:00:00,5.99,Un classique jeu d'arcade de labyrinthe.,8.0,"Arcade, Classique, Labyrinthe",Solo,2,https://eq9q4mywfv4.exactdn.com/wp-content/uploads/2023/07/Pac-Man-Featured-Ecran-Partage-2.jpg?strip=all&lossy=1&ssl=1
Pong,Arcade,Multi,1972-11-29 00:00:00,4.99,Le premier jeu d'arcade de tennis de table.,2024-05-07 00:00:00,"Arcade, Classique, Sport",Multijoueur,3,https://almacengamertv.com/wp-content/uploads/2023/02/PONG.jpg
Super Mario Bros.,Plateforme,Nintendo,1985-09-13 00:00:00,9.99,Le classique jeu de plateforme avec Mario.,9.0,"Plateforme, Aventure, Classique",Solo,5,https://static.posters.cz/image/1300/affiches-et-posters/super-mario-bros-world-1-1-i218009.jpg
The Legend of Zelda,Action-Aventure,Nintendo,1986-02-21 00:00:00,9.99,La première aventure épique de Link.,9.0,"Action, Aventure, Fantasy",Solo,8,https://www.nintendo.com/eu/media/images/10_share_images/portals_3/2x1_Hub_TheLegendOfZelda_ToTK_image1280w.jpg
Tetris,Puzzle,Multi,1984-06-06 00:00:00,4.99,Le classique jeu de puzzle de blocs.,2024-05-08 00:00:00,"Puzzle, Classique, Casual",Solo,5,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Typical_Tetris_Game.svg/1200px-Typical_Tetris_Game.svg.png
Sonic the Hedgehog,Plateforme,Sega,1991-06-23 00:00:00,9.99,Un jeu de plateforme rapide avec Sonic.,2024-07-08 00:00:00,"Plateforme, Aventure, Classique",Solo,10,https://www.nintendo.com/eu/media/images/10_share_images/games_15/nintendo_3ds_download_software_7/SI_3DSDS_3DSonicTheHedgehog_image1600w.jpg
Street Fighter II,Combat,Multi,1991-02-06 00:00:00,9.99,Le classique jeu de combat avec des personnages emblématiques.,2024-03-09 00:00:00,"Combat, Multijoueur, Classique",Multijoueur,3,https://upload.wikimedia.org/wikipedia/en/1/1d/SF2_JPN_flyer.jpg
Mortal Kombat,Combat,Multi,1992-10-08 00:00:00,9.99,Un jeu de combat brutal avec des fatalités.,2024-09-08 00:00:00,"Combat, Multijoueur, Classique",Multijoueur,5,https://cdn-mk1.mortalkombat.com/purchase/pack-bundle.webp
Doom,FPS,PC,1993-12-10 00:00:00,9.99,Le classique FPS de tir contre des démons.,9.0,"FPS, Action, Horreur",Solo,7,https://upload.wikimedia.org/wikipedia/en/5/57/Doom_cover_art.jpg
Warcraft: Orcs & Humans,Stratégie,PC,1994-11-23 00:00:00,9.99,Le premier jeu de stratégie en temps réel de la série Warcraft.,2024-05-08 00:00:00,"Stratégie, Fantasy, Multijoueur",Multijoueur,3,https://upload.wikimedia.org/wikipedia/en/9/9c/Warcraft_-_Orcs_%26_Humans_Coverart.png
Resident Evil,Survival Horror,Multi,1996-03-22 00:00:00,9.99,Le premier jeu de survie horreur avec des zombies.,2024-08-08 00:00:00,"Horreur, Survie, Action",Solo,10,https://www.nintendo.com/eu/media/images/10_share_images/games_15/nintendo_switch_download_software_1/H2x1_NSwitchDS_ResidentEvil4.jpg
Tomb Raider,Action-Aventure,Multi,1996-10-25 00:00:00,9.99,La première aventure de Lara Croft.,2024-07-08 00:00:00,"Action, Aventure, Exploration",Solo,7,https://image.api.playstation.com/vulcan/img/cfn/11307kGDEQ-Af4VjkwzfffuEE2DIn5-r1kMp86kg5PyUc7morSMv04cMbucnKivYNnLJl5Y11Ys7pXuLan1YW7zg1XsxKtb0.png
Final Fantasy VII,RPG,PlayStation,1997-01-31 00:00:00,9.99,Un RPG épique avec une histoire captivante.,2024-02-09 00:00:00,"RPG, Aventure, Fantasy",Solo,9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTqxubEfuIw1jfyuoTnJQ39dvYtAtcIMZkjQ&s
Gran Turismo,Course,PlayStation,1997-12-23 00:00:00,9.99,Le premier jeu de course réaliste.,2024-09-08 00:00:00,"Course, Simulation, Multijoueur","Solo, Multijoueur",4,https://image.api.playstation.com/vulcan/ap/rnd/202202/2806/xreKEb65CYM6LKfzgiNLFKlV.png
The Legend of Zelda: Ocarina of Time,Action-Aventure,Nintendo 64,1998-11-21 00:00:00,9.99,Une aventure épique en 3D avec Link.,2024-09-09 00:00:00,"Action, Aventure, Fantasy",Solo,3,https://www.google.com/url?sa=i&url=https%3A%2F%2Fhowlongtobeat.com%2Fgame%2F10035&psig=AOvVaw0GICcEbMY6IW4l32Y-ZzAK&ust=1732547517476000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCKC96M2g9YkDFQAAAAAdAAAAABAE
Half-Life,FPS,PC,1998-11-19 00:00:00,9.99,Un FPS révolutionnaire avec une histoire immersive.,2024-04-09 00:00:00,"FPS, Action, Science-fiction",Solo,5,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.half-life.com%2Ffr%2Fhalflife&psig=AOvVaw0b-3BxkCqPfF50qm_ow-cQ&ust=1732547493975000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCPiS2cGg9YkDFQAAAAAdAAAAABAE
Metal Gear Solid,Action-Aventure,PlayStation,1998-09-03 00:00:00,9.99,Un jeu d'action furtif avec Solid Snake.,2024-04-09 00:00:00,"Action, Aventure, Furtif",Solo,5,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.playstation.com%2Ffr-fr%2Fgames%2Fmetal-gear-solid-v-the-definitive-experience%2F&psig=AOvVaw1y8BjWUHbFXbaI9TfydQBL&ust=1732547469773000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCNDaobag9YkDFQAAAAAdAAAAABAE
Silent Hill,Survival Horror,PlayStation,1999-01-31 00:00:00,9.99,Un jeu de survie horreur psychologique.,2024-09-08 00:00:00,"Horreur, Survie, Action",Solo,9,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.allocine.fr%2Ffilm%2Ffichefilm_gen_cfilm%3D54015.html&psig=AOvVaw0OCjGLSU9pTXFT5Zn5i7CR&ust=1732547449030000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCNj1xqug9YkDFQAAAAAdAAAAABAE
Tony Hawk's Pro Skater,Sport,Multi,1999-09-29 00:00:00,9.99,Un jeu de skateboard avec des tricks réalistes.,9.0,"Sport, Skateboard, Simulation",Solo,1,https://www.google.com/url?sa=i&url=https%3A%2F%2Fstore.epicgames.com%2Ffr%2Fp%2Ftony-hawks-pro-skater-1-and-2&psig=AOvVaw1Wl4WCRLPXLhQkqGx1yYQM&ust=1732547424588000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCMD5laCg9YkDFQAAAAAdAAAAABAE
The Sims,Simulation,PC,2000-02-04 00:00:00,9.99,Un jeu de simulation de vie.,2024-02-09 00:00:00,"Simulation, Stratégie, Casual",Solo,7,https://www.google.com/url?sa=i&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FThe_Sims_%2528video_game%2529&psig=AOvVaw1C5WiqVGQjNe1Qsip0gSCU&ust=1732547396049000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCNC2mZOg9YkDFQAAAAAdAAAAABAE
Diablo II,Action-RPG,PC,2000-06-29 00:00:00,9.99,Un RPG d'action avec des combats intenses.,2024-03-09 00:00:00,"RPG, Action, Fantasy","Solo, Multijoueur",8,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.playstation.com%2Ffr-ch%2Fgames%2Fdiablo-ii-resurrected%2F&psig=AOvVaw06bjy44jB1Vg3PToqmiaWw&ust=1732547373535000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCICC84eg9YkDFQAAAAAdAAAAABAE
Grand Theft Auto III,Action-Aventure,PlayStation 2,2001-10-22 00:00:00,9.99,Un monde ouvert criminel en 3D.,2024-07-09 00:00:00,"Action, Aventure, Monde ouvert",Solo,3,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.fr%2FGta-III-PC%2Fdp%2FB004C04TWO&psig=AOvVaw1FvBCRc0qKluB_7nm0b_D2&ust=1732547345712000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCOC9z_uf9YkDFQAAAAAdAAAAABAE
